integrador,dias,error_relativo_energia
euler,0,1.13702e-05
euler,50,0.00133426
euler,100,0.00231022
euler,150,0.0030317
euler,200,0.00377262
euler,250,0.00447038
euler,300,0.00504954
euler,350,0.00560169
euler,400,0.00612786
euler,450,0.00669964
euler,500,0.00717371
euler,550,0.00759733
euler,600,0.00800605
euler,650,0.0084014
euler,700,0.00878024
euler,750,0.00917369
euler,800,0.00955715
euler,850,0.0098857
euler,900,0.0102054
euler,950,0.0105214
euler,1000,0.0108306
euler,1050,0.0111275
euler,1100,0.0114088
euler,1150,0.0116897
euler,1200,0.0119826
euler,1250,0.0122303
euler,1300,0.0124695
euler,1350,0.0127111
euler,1400,0.0129568
euler,1450,0.013203
euler,1500,0.0134431
euler,1550,0.0136715
euler,1600,0.0138866
euler,1650,0.0140965
euler,1700,0.0143245
euler,1750,0.0145267
euler,1800,0.0147156
euler,1850,0.0149056
euler,1900,0.0150996
euler,1950,0.0152969
euler,2000,0.0154943
euler,2050,0.0156875
euler,2100,0.0158732
euler,2150,0.0160506
euler,2200,0.0162211
euler,2250,0.0163883
euler,2300,0.0165655
euler,2350,0.0167547
euler,2400,0.0169243
euler,2450,0.0170917
euler,2500,0.0172614
euler,2550,0.0174332
euler,2600,0.0176051
euler,2650,0.0177749
euler,2700,0.0179408
euler,2750,0.0181021
euler,2800,0.018259
euler,2850,0.0184125
euler,2900,0.0185644
euler,2950,0.0187165
euler,3000,0.0188714
euler,3050,0.0190365
euler,3100,0.0192196
euler,3150,0.0193905
euler,3200,0.0195568
euler,3250,0.0197231
euler,3300,0.0198888
euler,3350,0.020053
euler,3400,0.0202152
euler,3450,0.020375
euler,3500,0.0205326
euler,3550,0.0206887
euler,3600,0.0208441
euler,3650,0.0209999
euler,3700,0.0211568
euler,3750,0.0213155
euler,3800,0.021476
euler,3850,0.0216384
euler,3900,0.0218029
euler,3950,0.0219736
euler,4000,0.0221569
euler,4050,0.0223284
euler,4100,0.0224921
euler,4150,0.0226531
euler,4200,0.0228118
euler,4250,0.0229679
euler,4300,0.0231217
euler,4350,0.0232735
euler,4400,0.0234238
euler,4450,0.023573
euler,4500,0.0237214
euler,4550,0.0238691
euler,4600,0.0240158
euler,4650,0.0241613
euler,4700,0.0243052
euler,4750,0.0244476
euler,4800,0.0245882
euler,4850,0.0247271
euler,4900,0.0248644
euler,4950,0.0250001
euler,5000,0.0251366
euler,5050,0.0252817
euler,5100,0.0254212
euler,5150,0.0255496
euler,5200,0.0256743
euler,5250,0.0257971
euler,5300,0.0259182
euler,5350,0.0260379
euler,5400,0.0261559
euler,5450,0.0262724
euler,5500,0.0263872
euler,5550,0.0265005
euler,5600,0.0266123
euler,5650,0.026723
euler,5700,0.0268326
euler,5750,0.0269413
euler,5800,0.027049
euler,5850,0.0271556
euler,5900,0.0272611
euler,5950,0.0273655
euler,6000,0.0274689
euler,6050,0.0275716
euler,6100,0.0276739
euler,6150,0.027776
euler,6200,0.0278785
euler,6250,0.0279836
euler,6300,0.0280976
euler,6350,0.0282068
euler,6400,0.0283082
euler,6450,0.0284075
euler,6500,0.0285063
euler,6550,0.0286048
euler,6600,0.0287035
euler,6650,0.0288026
euler,6700,0.028902
euler,6750,0.0290017
euler,6800,0.0291017
euler,6850,0.0292019
euler,6900,0.0293023
euler,6950,0.0294031
euler,7000,0.0295044
euler,7050,0.0296062
euler,7100,0.0297087
euler,7150,0.0298119
euler,7200,0.0299158
euler,7250,0.0300204
euler,7300,0.0301257
euler,7350,0.0302318
euler,7400,0.0303386
euler,7450,0.0304464
euler,7500,0.0305553
euler,7550,0.0306653
euler,7600,0.0307768
euler,7650,0.03089
euler,7700,0.0310064
euler,7750,0.0311311
euler,7800,0.0312577
euler,7850,0.0313778
euler,7900,0.0314968
euler,7950,0.0316162
euler,8000,0.0317363
euler,8050,0.0318572
euler,8100,0.0319787
euler,8150,0.0321008
euler,8200,0.0322234
euler,8250,0.0323462
euler,8300,0.0324692
euler,8350,0.0325923
euler,8400,0.0327156
euler,8450,0.0328391
euler,8500,0.0329628
euler,8550,0.0330867
euler,8600,0.0332108
euler,8650,0.033335
euler,8700,0.0334591
euler,8750,0.0335828
euler,8800,0.033706
euler,8850,0.0338284
euler,8900,0.0339499
euler,8950,0.0340703
euler,9000,0.0341894
euler,9050,0.0343072
euler,9100,0.0344236
euler,9150,0.0345384
euler,9200,0.0346516
euler,9250,0.0347632
euler,9300,0.034873
euler,9350,0.0349816
euler,9400,0.0350912
euler,9450,0.0352059
euler,9500,0.0353157
euler,9550,0.0354188
euler,9600,0.0355196
euler,9650,0.0356191
euler,9700,0.0357177
euler,9750,0.0358157
euler,9800,0.035913
euler,9850,0.0360095
euler,9900,0.0361053
euler,9950,0.0362003
euler,10000,0.0362942
euler,10050,0.036387
euler,10100,0.0364787
euler,10150,0.0365693
euler,10200,0.0366588
euler,10250,0.0367472
euler,10300,0.0368346
euler,10350,0.0369209
euler,10400,0.0370063
euler,10450,0.0370907
euler,10500,0.0371742
euler,10550,0.0372571
euler,10600,0.0373394
euler,10650,0.0374213
euler,10700,0.037503
euler,10750,0.0375848
euler,10800,0.0376667
euler,10850,0.037749
euler,10900,0.0378318
euler,10950,0.0379151
euler,11000,0.0379991
euler,11050,0.0380838
euler,11100,0.038169
euler,11150,0.0382549
euler,11200,0.0383413
euler,11250,0.0384282
euler,11300,0.038516
euler,11350,0.0386067
euler,11400,0.0387036
euler,11450,0.0387974
euler,11500,0.0388868
euler,11550,0.0389754
euler,11600,0.0390641
euler,11650,0.0391531
euler,11700,0.0392426
euler,11750,0.0393328
euler,11800,0.0394237
euler,11850,0.0395155
euler,11900,0.0396084
euler,11950,0.0397025
euler,12000,0.0397979
euler,12050,0.0398948
euler,12100,0.0399933
euler,12150,0.0400933
euler,12200,0.0401949
euler,12250,0.040298
euler,12300,0.0404026
euler,12350,0.0405086
euler,12400,0.0406159
euler,12450,0.0407244
euler,12500,0.0408339
euler,12550,0.0409442
euler,12600,0.0410553
euler,12650,0.0411669
euler,12700,0.0412787
euler,12750,0.0413908
euler,12800,0.0415028
euler,12850,0.0416148
euler,12900,0.0417266
euler,12950,0.0418381
euler,13000,0.0419494
euler,13050,0.0420604
euler,13100,0.0421711
euler,13150,0.0422815
euler,13200,0.0423915
euler,13250,0.0425011
euler,13300,0.0426103
euler,13350,0.0427191
euler,13400,0.0428273
euler,13450,0.0429351
euler,13500,0.0430423
euler,13550,0.0431493
euler,13600,0.0432578
euler,13650,0.0433707
euler,13700,0.0434797
euler,13750,0.0435833
euler,13800,0.0436846
euler,13850,0.0437844
euler,13900,0.0438827
euler,13950,0.0439795
euler,14000,0.0440747
euler,14050,0.0441684
euler,14100,0.0442604
euler,14150,0.0443508
euler,14200,0.0444396
euler,14250,0.0445268
euler,14300,0.0446125
euler,14350,0.044697
euler,14400,0.0447802
euler,14450,0.0448623
euler,14500,0.0449435
euler,14550,0.0450239
euler,14600,0.0451036
euler,14650,0.0451827
euler,14700,0.0452614
euler,14750,0.0453397
euler,14800,0.0454177
euler,14850,0.0454954
euler,14900,0.0455729
euler,14950,0.0456502
euler,15000,0.0457273
euler,15050,0.0458041
euler,15100,0.0458807
euler,15150,0.045957
euler,15200,0.046033
euler,15250,0.0461087
euler,15300,0.0461841
euler,15350,0.0462593
euler,15400,0.0463342
euler,15450,0.046409
euler,15500,0.0464836
euler,15550,0.0465581
euler,15600,0.0466325
euler,15650,0.046707
euler,15700,0.0467816
euler,15750,0.0468564
euler,15800,0.0469316
euler,15850,0.0470072
euler,15900,0.0470833
euler,15950,0.0471602
euler,16000,0.0472378
euler,16050,0.0473164
euler,16100,0.0473961
euler,16150,0.0474773
euler,16200,0.0475616
euler,16250,0.0476519
euler,16300,0.0477414
euler,16350,0.0478281
euler,16400,0.0479148
euler,16450,0.0480024
euler,16500,0.048091
euler,16550,0.0481807
euler,16600,0.0482713
euler,16650,0.0483629
euler,16700,0.0484554
euler,16750,0.0485488
euler,16800,0.048643
euler,16850,0.048738
euler,16900,0.0488339
euler,16950,0.0489305
euler,17000,0.049028
euler,17050,0.0491263
euler,17100,0.0492253
euler,17150,0.049325
euler,17200,0.0494254
euler,17250,0.0495264
euler,17300,0.049628
euler,17350,0.0497301
euler,17400,0.0498327
euler,17450,0.0499357
euler,17500,0.050039
euler,17550,0.0501426
euler,17600,0.0502464
euler,17650,0.0503503
euler,17700,0.0504542
euler,17750,0.050558
euler,17800,0.0506616
euler,17850,0.0507647
euler,17900,0.0508673
euler,17950,0.0509692
euler,18000,0.0510702
euler,18050,0.0511703
euler,18100,0.0512693
euler,18150,0.051367
euler,18200,0.0514634
euler,18250,0.0515584
euler,18300,0.051652
euler,18350,0.0517442
euler,18400,0.0518349
euler,18450,0.0519242
euler,18500,0.0520121
euler,18550,0.0520987
euler,18600,0.052184
euler,18650,0.0522681
euler,18700,0.0523511
euler,18750,0.052433
euler,18800,0.0525138
euler,18850,0.0525937
euler,18900,0.0526727
euler,18950,0.0527508
euler,19000,0.0528281
euler,19050,0.0529048
euler,19100,0.0529808
euler,19150,0.0530566
euler,19200,0.053133
euler,19250,0.0532128
euler,19300,0.0532934
euler,19350,0.0533692
euler,19400,0.0534428
euler,19450,0.0535156
euler,19500,0.0535879
euler,19550,0.0536597
euler,19600,0.0537311
euler,19650,0.053802
euler,19700,0.0538725
euler,19750,0.0539425
euler,19800,0.0540122
euler,19850,0.0540815
euler,19900,0.0541505
euler,19950,0.0542194
euler,20000,0.054288
euler,20050,0.0543567
euler,20100,0.0544253
euler,20150,0.0544941
euler,20200,0.0545632
euler,20250,0.0546326
euler,20300,0.0547023
euler,20350,0.0547727
euler,20400,0.0548436
euler,20450,0.0549151
euler,20500,0.0549875
euler,20550,0.0550606
euler,20600,0.0551346
euler,20650,0.0552095
euler,20700,0.0552853
euler,20750,0.0553622
euler,20800,0.05544
euler,20850,0.055519
euler,20900,0.055599
euler,20950,0.0556801
euler,21000,0.0557623
euler,21050,0.0558455
euler,21100,0.0559298
euler,21150,0.0560151
euler,21200,0.0561013
euler,21250,0.0561884
euler,21300,0.0562764
euler,21350,0.0563654
euler,21400,0.0564551
euler,21450,0.0565457
euler,21500,0.0566371
euler,21550,0.0567293
euler,21600,0.0568222
euler,21650,0.056916
euler,21700,0.0570105
euler,21750,0.0571057
euler,21800,0.0572016
euler,21850,0.0572981
euler,21900,0.0573953
euler,21950,0.0574929
euler,22000,0.0575911
euler,22050,0.0576897
euler,22100,0.0577887
euler,22150,0.057888
euler,22200,0.0579874
euler,22250,0.058087
euler,22300,0.0581865
euler,22350,0.0582859
euler,22400,0.0583851
euler,22450,0.0584839
euler,22500,0.0585824
euler,22550,0.0586804
euler,22600,0.0587788
euler,22650,0.0588806
euler,22700,0.0589831
euler,22750,0.0590798
euler,22800,0.0591734
euler,22850,0.0592656
euler,22900,0.0593563
euler,22950,0.0594457
euler,23000,0.0595337
euler,23050,0.0596203
euler,23100,0.0597055
euler,23150,0.0597893
euler,23200,0.0598718
euler,23250,0.0599529
euler,23300,0.0600327
euler,23350,0.0601112
euler,23400,0.0601886
euler,23450,0.0602649
euler,23500,0.0603401
euler,23550,0.0604143
euler,23600,0.0604876
euler,23650,0.0605601
euler,23700,0.0606318
euler,23750,0.0607028
euler,23800,0.0607731
euler,23850,0.060843
euler,23900,0.0609124
euler,23950,0.0609814
euler,24000,0.0610501
euler,24050,0.0611185
euler,24100,0.0611866
euler,24150,0.0612546
euler,24200,0.0613223
euler,24250,0.0613898
euler,24300,0.0614572
euler,24350,0.0615244
euler,24400,0.0615914
euler,24450,0.0616582
euler,24500,0.0617249
euler,24550,0.0617914
euler,24600,0.0618577
euler,24650,0.0619239
euler,24700,0.06199
euler,24750,0.0620561
euler,24800,0.0621221
euler,24850,0.0621882
euler,24900,0.0622544
euler,24950,0.0623207
euler,25000,0.0623873
euler,25050,0.0624542
euler,25100,0.0625215
euler,25150,0.0625893
euler,25200,0.0626576
euler,25250,0.0627265
euler,25300,0.0627961
euler,25350,0.0628665
euler,25400,0.0629377
euler,25450,0.0630098
euler,25500,0.0630828
euler,25550,0.0631569
euler,25600,0.063232
euler,25650,0.0633083
euler,25700,0.0633858
euler,25750,0.0634646
euler,25800,0.0635446
euler,25850,0.0636259
euler,25900,0.0637085
euler,25950,0.0637923
euler,26000,0.0638775
euler,26050,0.0639638
euler,26100,0.0640512
euler,26150,0.0641397
euler,26200,0.0642292
euler,26250,0.0643196
euler,26300,0.0644107
euler,26350,0.0645026
euler,26400,0.0645951
euler,26450,0.0646882
euler,26500,0.0647817
euler,26550,0.0648757
euler,26600,0.0649704
euler,26650,0.0650675
euler,26700,0.0651686
euler,26750,0.0652673
euler,26800,0.0653627
euler,26850,0.0654572
euler,26900,0.0655514
euler,26950,0.0656452
euler,27000,0.0657386
euler,27050,0.0658315
euler,27100,0.0659239
euler,27150,0.0660157
euler,27200,0.0661068
euler,27250,0.0661973
euler,27300,0.0662869
euler,27350,0.0663757
euler,27400,0.0664637
euler,27450,0.0665508
euler,27500,0.066637
euler,27550,0.0667223
euler,27600,0.0668067
euler,27650,0.0668901
